adgroup,group,slug,tier,keyword,total,pc,mo,comp,ads,bid
G0_대입면접일반,general,,T1,대학면접준비,1320.0,190.0,1130.0,높음,10.0,500
G0_대입면접일반,general,,T2,대학면접,830.0,160.0,670.0,높음,10.0,450
G0_대입면접일반,general,,T2,수시면접,510.0,90.0,420.0,높음,10.0,450
G0_대입면접일반,general,,T2,대학모의면접,470.0,50.0,420.0,높음,7.0,450
G0_대입면접일반,general,,T2,수시면접준비,400.0,70.0,330.0,높음,10.0,450
G0_대입면접일반,general,,T2,대입면접,280.0,90.0,190.0,높음,10.0,450
G0_대입면접일반,general,,T2,대입면접준비,220.0,60.0,160.0,높음,10.0,450
G0_대입면접일반,general,,T3,대학입시면접,80.0,20.0,60.0,높음,7.0,400
G0_대입면접일반,general,,T3,입시면접,80.0,20.0,60.0,높음,10.0,400
G0_대입면접일반,general,,T3,대학수시면접,60.0,10.0,50.0,높음,7.0,400
G0_대입면접일반,general,,T3,대학면접책,50.0,10.0,40.0,높음,3.0,400
G0_대입면접일반,general,,T3,대입면접책,50.0,10.0,40.0,높음,3.0,400
G0_대입면접일반,general,,T4,천안대입면접,35.0,5.0,30.0,높음,3.0,350
G0_대입면접일반,general,,T4,대입수시면접,30.0,10.0,20.0,높음,7.0,350
G0_대입면접일반,general,,T4,목동수시면접,30.0,10.0,20.0,높음,3.0,350
G0_대입면접일반,general,,T4,대학교수시면접,25.0,5.0,20.0,높음,7.0,350
G0_대입면접일반,general,,T4,수시모의면접,25.0,5.0,20.0,높음,7.0,350
G0_대입면접일반,general,,T4,수시면접대비,15.0,5.0,10.0,높음,7.0,350
G0_대입면접일반,general,,T4,대입면접특강,15.0,5.0,10.0,중간,6.0,350
G0_대입면접일반,general,,T4,대입모의면접,15.0,5.0,10.0,높음,7.0,350
G1_기출질문,general,,T2,대학면접질문,500.0,70.0,430.0,높음,10.0,450
G1_기출질문,general,,T3,대학면접예상질문,180.0,10.0,170.0,높음,10.0,400
G2_학원컨설팅,general,,T1,대입면접학원,1850.0,340.0,1510.0,높음,10.0,500
G2_학원컨설팅,general,,T1,수시면접학원,1840.0,330.0,1510.0,높음,10.0,500
G2_학원컨설팅,general,,T1,대학면접학원,1660.0,200.0,1460.0,높음,10.0,500
G2_학원컨설팅,general,,T2,입시면접학원,570.0,80.0,490.0,높음,10.0,450
G2_학원컨설팅,general,,T2,대입면접컨설팅,250.0,60.0,190.0,높음,10.0,450
