group,slug,tier,keyword,total,pc,mo,clk_pc,clk_mo,ctr_pc,ctr_mo,comp,ads
general,,T1,면접,3550.0,970.0,2580.0,0.7,5.0,0.08%,0.22%,높음,10.0
general,,T1,면접자기소개예시,2130.0,800.0,1330.0,0.6,2.5,0.09%,0.21%,높음,10.0
general,,T1,면접자기소개,1940.0,650.0,1290.0,0.3,5.3,0.05%,0.45%,높음,10.0
general,,T1,대입면접학원,1850.0,340.0,1510.0,5.8,59.2,1.91%,4.52%,높음,10.0
general,,T1,수시면접학원,1840.0,330.0,1510.0,5.9,51.0,2.18%,3.99%,높음,10.0
general,,T1,면접예상질문,1770.0,390.0,1380.0,1.9,16.3,0.52%,1.29%,높음,10.0
general,,T1,대학면접학원,1660.0,200.0,1460.0,3.5,44.0,1.98%,3.41%,높음,10.0
general,,T1,AI면접,1660.0,640.0,1020.0,4.3,11.2,0.72%,1.16%,높음,10.0
general,,T1,대구면접학원,1610.0,200.0,1410.0,1.3,12.0,0.71%,0.87%,높음,10.0
general,,T1,면접질문,1350.0,380.0,970.0,0.0,2.3,-,0.26%,높음,10.0
general,,T1,대학면접준비,1320.0,190.0,1130.0,0.5,12.0,0.3%,1.18%,높음,10.0
general,,T1,면접준비,1050.0,310.0,740.0,0.1,6.8,0.04%,1%,높음,10.0
general,,T1,PT면접,1030.0,430.0,600.0,0.2,1.5,0.05%,0.27%,높음,10.0
general,,T2,면접후기,890.0,270.0,620.0,0.2,0.5,0.08%,0.09%,높음,10.0
general,,T2,모의면접,860.0,170.0,690.0,0.9,3.6,0.56%,0.54%,높음,10.0
general,,T2,대전면접학원,850.0,180.0,670.0,2.1,9.4,1.23%,1.52%,높음,10.0
general,,T2,대학면접,830.0,160.0,670.0,1.0,2.2,0.75%,0.38%,높음,10.0
general,,T2,면접컨설팅,830.0,210.0,620.0,4.3,23.4,2.17%,4.28%,높음,10.0
general,,T2,면접질문리스트,770.0,370.0,400.0,0.5,1.5,0.14%,0.39%,높음,10.0
general,,T2,부산면접학원,680.0,140.0,540.0,1.2,10.6,0.99%,2.19%,높음,10.0
general,,T2,블라인드면접,680.0,120.0,560.0,0.0,0.8,-,0.15%,높음,10.0
general,,T2,화상면접,650.0,160.0,490.0,0.2,1.3,0.15%,0.27%,높음,10.0
general,,T2,면접1분자기소개,630.0,300.0,330.0,0.0,0.8,-,0.24%,높음,10.0
general,,T2,입시면접학원,570.0,80.0,490.0,1.9,21.2,2.72%,4.64%,높음,10.0
general,,T2,면접스터디,570.0,140.0,430.0,1.0,6.0,0.72%,1.45%,높음,10.0
general,,T2,면접1분자기소개예시,530.0,320.0,210.0,0.0,0.8,-,0.39%,높음,10.0
general,,T2,제시문면접,520.0,90.0,430.0,0.4,2.0,0.46%,0.54%,높음,10.0
general,,T2,수시면접,510.0,90.0,420.0,0.8,2.1,0.98%,0.58%,높음,10.0
general,,T2,대학면접질문,500.0,70.0,430.0,0.0,1.8,-,0.46%,높음,10.0
general,,T2,대학모의면접,470.0,50.0,420.0,0.0,2.0,-,0.45%,높음,7.0
general,,T2,현대자동차면접,470.0,120.0,350.0,0.0,0.3,-,0.08%,높음,7.0
general,,T2,임원면접,420.0,150.0,270.0,0.0,0.3,-,0.11%,높음,10.0
general,,T2,수시면접준비,400.0,70.0,330.0,1.2,5.5,1.82%,1.86%,높음,10.0
general,,T2,지스트면접,370.0,90.0,280.0,0.0,0.0,-,-,낮음,0.0
general,,T2,노량진면접학원,370.0,90.0,280.0,0.9,3.6,1.12%,1.27%,높음,10.0
general,,T2,대학면접자기소개,350.0,70.0,280.0,0.1,0.0,0.15%,-,높음,10.0
general,,T2,AI모의면접,340.0,170.0,170.0,1.6,2.8,0.94%,1.72%,높음,10.0
general,,T2,현대자동차생산직면접,320.0,120.0,200.0,0.0,1.7,-,0.78%,높음,7.0
general,,T2,천안면접학원,310.0,40.0,270.0,0.3,2.0,0.86%,0.85%,높음,10.0
general,,T2,대치동면접학원,300.0,50.0,250.0,1.4,7.7,2.75%,3.43%,높음,10.0
general,,T2,간호학과면접,300.0,50.0,250.0,0.0,1.0,-,0.44%,높음,10.0
general,,T2,면접영어,300.0,140.0,160.0,0.0,0.0,-,-,낮음,0.0
general,,T2,창원면접학원,300.0,50.0,250.0,0.9,8.2,1.74%,3.39%,높음,10.0
general,,T2,학종면접,280.0,30.0,250.0,0.0,0.8,-,0.36%,높음,7.0
general,,T2,대입면접,280.0,90.0,190.0,1.4,3.5,1.73%,2.28%,높음,10.0
general,,T2,임원면접질문,270.0,110.0,160.0,0.0,1.0,-,0.66%,높음,10.0
general,,T2,서울면접학원,260.0,50.0,210.0,1.9,2.4,4.14%,1.21%,높음,10.0
general,,T2,울산면접학원,260.0,30.0,230.0,0.0,6.6,-,3.21%,높음,10.0
general,,T2,인천국제공항보안면접,260.0,120.0,140.0,0.6,1.8,0.51%,1.45%,높음,7.0
general,,T2,대입면접컨설팅,250.0,60.0,190.0,2.3,11.2,3.97%,6.71%,높음,10.0
general,,T2,수원면접학원,240.0,40.0,200.0,0.7,2.4,1.75%,1.45%,높음,10.0
general,,T2,대한항공면접,240.0,40.0,200.0,0.1,0.5,0.28%,0.23%,높음,10.0
general,,T2,면접평가표,240.0,180.0,60.0,0.3,0.0,0.17%,-,높음,10.0
general,,T2,현대자동차면접후기,240.0,70.0,170.0,0.0,0.8,-,0.47%,높음,7.0
general,,T2,구술면접,230.0,50.0,180.0,0.0,0.3,-,0.17%,높음,10.0
general,,T2,수시면접컨설팅,220.0,70.0,150.0,1.6,6.5,2.91%,4.87%,높음,10.0
general,,T2,대입면접준비,220.0,60.0,160.0,0.2,3.5,0.36%,2.31%,높음,10.0
general,,T2,인천면접학원,220.0,30.0,190.0,0.9,2.6,2.91%,1.44%,높음,10.0
general,,T2,대학입시면접학원,210.0,20.0,190.0,0.7,8.6,4.77%,5.68%,높음,7.0
general,,T2,면접잘보는법,210.0,40.0,170.0,0.0,1.0,-,0.56%,높음,10.0
general,,T2,코레일면접,210.0,60.0,150.0,0.0,1.3,-,0.87%,높음,10.0
general,,T2,인성면접,200.0,60.0,140.0,0.0,0.0,-,-,높음,10.0
general,,T2,압박면접,200.0,40.0,160.0,0.0,0.0,-,-,높음,3.0
general,,T2,인성면접질문,200.0,50.0,150.0,0.0,0.0,-,-,높음,3.0
general,,T2,계리직면접,200.0,50.0,150.0,0.5,2.0,0.91%,1.42%,높음,10.0
general,,T3,MMI면접,190.0,70.0,120.0,0.0,1.0,-,0.82%,높음,10.0
general,,T3,대학면접예상질문,180.0,10.0,170.0,0.1,0.5,0.67%,0.35%,높음,10.0
general,,T3,토론면접,180.0,70.0,110.0,0.0,0.6,-,0.52%,높음,7.0
general,,T3,제시문면접학원,170.0,30.0,140.0,1.1,4.0,3.81%,3.04%,높음,7.0
general,,T3,간호학과면접질문,170.0,20.0,150.0,0.0,0.0,-,-,높음,7.0
general,,T3,PT면접준비,170.0,70.0,100.0,0.4,0.3,0.65%,0.28%,높음,7.0
general,,T3,비대면면접,170.0,40.0,130.0,0.0,0.0,-,-,높음,10.0
general,,T3,대전면접,170.0,40.0,130.0,0.4,0.8,1.08%,0.57%,높음,7.0
general,,T3,면접연습,160.0,50.0,110.0,0.0,0.3,-,0.23%,높음,10.0
general,,T3,근로복지공단면접,160.0,50.0,110.0,0.0,0.3,-,0.21%,높음,7.0
general,,T3,송도면접학원,160.0,20.0,140.0,0.1,2.7,0.88%,2.19%,높음,7.0
general,,T3,학종면접학원,150.0,20.0,130.0,0.1,2.5,0.63%,2.14%,높음,7.0
general,,T3,새마을금고면접,150.0,30.0,120.0,0.4,0.3,1.05%,0.23%,높음,7.0
general,,T3,신용보증기금면접,150.0,50.0,100.0,0.1,0.0,0.23%,-,높음,10.0
general,,T3,AI면접연습,150.0,90.0,60.0,0.3,0.3,0.33%,0.44%,높음,10.0
general,,T3,생기부면접,140.0,30.0,110.0,0.7,0.5,2.39%,0.5%,높음,7.0
general,,T3,부사관면접,135.0,5.0,130.0,0.0,0.7,-,0.56%,높음,3.0
general,,T3,강남면접학원,130.0,40.0,90.0,0.6,3.8,1.4%,4.18%,높음,10.0
general,,T3,공무직면접,130.0,30.0,100.0,0.1,0.8,0.48%,0.87%,높음,7.0
general,,T3,면접답변,130.0,50.0,80.0,0.2,0.3,0.4%,0.29%,높음,10.0
general,,T3,일산면접학원,130.0,20.0,110.0,0.7,7.4,3.19%,8.23%,높음,10.0
general,,T3,교육행정직면접,130.0,20.0,110.0,0.0,0.2,-,0.22%,높음,7.0
general,,T3,9급면접,130.0,10.0,120.0,0.3,0.0,1.97%,-,높음,3.0
general,,T3,대구면접,130.0,20.0,110.0,0.1,1.5,0.48%,1.3%,높음,10.0
general,,T3,입시면접컨설팅,120.0,20.0,100.0,0.6,3.1,2.49%,3.29%,높음,7.0
general,,T3,동탄면접학원,120.0,10.0,110.0,0.3,3.5,3.23%,4.22%,높음,7.0
general,,T3,평택면접학원,110.0,10.0,100.0,0.0,2.8,-,3.18%,높음,7.0
general,,T3,목동면접학원,110.0,30.0,80.0,0.1,3.5,0.33%,4.73%,높음,10.0
general,,T3,온라인면접,110.0,30.0,80.0,0.1,0.3,0.47%,0.34%,높음,7.0
general,,T3,삼성전자면접,110.0,50.0,60.0,0.0,0.3,-,0.44%,높음,7.0
general,,T3,셀트리온면접,110.0,40.0,70.0,0.0,0.5,-,0.76%,높음,7.0
general,,T3,목동수시면접학원,110.0,20.0,90.0,1.1,3.5,5.45%,4.27%,높음,7.0
general,,T3,면접특강,100.0,30.0,70.0,0.0,1.0,-,1.54%,높음,7.0
general,,T3,대치면접학원,100.0,20.0,80.0,0.8,1.8,3.48%,2.37%,높음,10.0
general,,T3,면접준비학원,100.0,10.0,90.0,0.1,0.8,0.91%,0.89%,높음,10.0
general,,T3,병원면접,100.0,10.0,90.0,0.0,0.3,-,0.32%,높음,7.0
general,,T3,면접답변예시,100.0,30.0,70.0,0.0,0.0,-,-,높음,7.0
general,,T3,부산면접,100.0,20.0,80.0,0.1,1.5,0.6%,1.88%,높음,7.0
general,,T3,의정부면접학원,100.0,20.0,80.0,0.3,1.0,1.67%,1.45%,높음,3.0
general,,T3,동국제강면접,100.0,20.0,80.0,0.0,0.0,-,-,높음,7.0
general,,T3,강원랜드면접,100.0,30.0,70.0,0.0,0.3,-,0.31%,높음,7.0
general,,T3,AI면접준비,100.0,40.0,60.0,0.0,0.0,-,-,높음,7.0
general,,T3,면접바이블,100.0,30.0,70.0,0.0,0.0,-,-,높음,3.0
general,,T3,면접과외,90.0,10.0,80.0,0.3,2.5,2.31%,3.17%,높음,10.0
general,,T3,면접후기사이트,90.0,50.0,40.0,0.0,0.0,-,-,높음,3.0
general,,T3,공공기관면접,90.0,30.0,60.0,0.0,0.3,-,0.4%,높음,7.0
general,,T3,포스코면접,90.0,10.0,80.0,0.0,0.3,-,0.5%,높음,7.0
general,,T3,대전대입면접학원,85.0,5.0,80.0,0.0,2.6,-,3.19%,높음,7.0
general,,T3,대학입시면접,80.0,20.0,60.0,0.4,2.9,2.15%,4.73%,높음,7.0
general,,T3,입시면접,80.0,20.0,60.0,0.1,3.3,0.59%,5.96%,높음,10.0
general,,T3,간호학과면접학원,80.0,10.0,70.0,0.4,2.5,2.86%,4.04%,높음,7.0
general,,T3,제시문기반면접,80.0,20.0,60.0,0.0,0.0,-,-,높음,3.0
general,,T3,면접시질문,80.0,30.0,50.0,0.0,0.3,-,0.54%,높음,7.0
general,,T3,평촌면접학원,80.0,10.0,70.0,0.3,2.5,1.69%,3.83%,높음,7.0
general,,T3,AI면접게임,80.0,30.0,50.0,0.0,0.0,-,-,높음,3.0
general,,T3,면접컨설팅비용,80.0,20.0,60.0,0.1,2.0,0.76%,3.28%,높음,7.0
general,,T3,서면면접학원,80.0,20.0,60.0,0.1,2.0,0.56%,3.2%,높음,10.0
general,,T3,삼성전기면접,80.0,10.0,70.0,0.0,0.0,-,-,높음,7.0
general,,T3,삼성면접,80.0,20.0,60.0,0.0,0.3,-,0.4%,높음,10.0
general,,T3,부천면접학원,80.0,10.0,70.0,0.1,2.8,1.3%,3.67%,높음,7.0
general,,T3,ASML면접,80.0,30.0,50.0,0.0,0.0,-,-,높음,10.0
general,,T3,분당면접학원,70.0,20.0,50.0,0.3,2.3,2.02%,4.25%,높음,10.0
