keyword,pc,mo,clk_pc,clk_mo,ctr_pc,ctr_mo,comp,ads,total
9월모의고사,74200.0,472700.0,3.6,43.3,0.02%,0.04%,높음,9.0,546900.0
9모,20500.0,236000.0,3.3,23.0,0.06%,0.04%,높음,3.0,256500.0
수능디데이,18400.0,177700.0,3.7,66.1,0.03%,0.04%,중간,8.0,196100.0
현대자동차채용,38600.0,65000.0,2.9,25.8,0.02%,0.06%,높음,9.0,103600.0
수시원서접수,10400.0,76100.0,2.9,82.6,0.04%,0.14%,높음,10.0,86500.0
수시원서접수기간,9360.0,52200.0,1.6,30.2,0.03%,0.08%,높음,10.0,61560.0
이력서,24200.0,19000.0,161.0,136.2,0.75%,0.8%,높음,10.0,43200.0
평생교육원,7560.0,14800.0,138.8,260.6,2.03%,1.92%,높음,10.0,22360.0
검정고시로대학가기,3060.0,14900.0,3.0,22.6,0.12%,0.18%,높음,10.0,17960.0
대한항공채용,5530.0,11700.0,1.4,26.2,0.03%,0.24%,높음,10.0,17230.0
가천대수시등급,2000.0,14600.0,0.0,0.0,-,-,낮음,0.0,16600.0
영어공부혼자하기,4230.0,11200.0,30.6,304.8,0.81%,2.89%,높음,10.0,15430.0
수능일,4310.0,9750.0,0.1,4.8,0.01%,0.06%,높음,7.0,14060.0
RESUME,3910.0,9880.0,0.0,0.0,-,-,높음,3.0,13790.0
2024년9월모의고사,2040.0,11600.0,0.0,0.3,-,0.01%,높음,3.0,13640.0
우리은행채용,6680.0,6650.0,0.9,1.8,0.03%,0.04%,높음,9.0,13330.0
편입,2190.0,10600.0,17.8,56.6,0.92%,0.61%,높음,10.0,12790.0
STEP,5400.0,7040.0,5.1,38.5,0.11%,0.61%,높음,9.0,12440.0
금융감독원채용,5180.0,6800.0,1.7,8.0,0.05%,0.14%,중간,8.0,11980.0
경북대수시등급,1190.0,10400.0,0.0,0.0,-,-,낮음,0.0,11590.0
진로,1930.0,9310.0,0.2,6.6,0.02%,0.08%,높음,10.0,11240.0
약술형논술,1540.0,8590.0,7.1,67.4,0.52%,0.88%,높음,10.0,10130.0
응급구조학과,1420.0,8690.0,4.9,72.3,0.4%,0.94%,높음,10.0,10110.0
충남대수시등급,1150.0,8740.0,0.0,0.0,-,-,낮음,0.0,9890.0
입시컨설팅,1600.0,8030.0,24.6,237.2,1.63%,3.16%,높음,10.0,9630.0
아모레퍼시픽채용,2950.0,6490.0,1.2,16.0,0.05%,0.28%,높음,10.0,9440.0
국민은행채용,4000.0,5370.0,0.4,2.8,0.03%,0.1%,중간,8.0,9370.0
티웨이항공채용,3380.0,5940.0,1.6,9.6,0.05%,0.17%,높음,9.0,9320.0
과학학원,460.0,8270.0,0.3,13.2,0.08%,0.18%,높음,10.0,8730.0
스피치학원,1500.0,7190.0,18.5,96.2,1.36%,1.48%,높음,10.0,8690.0
스피치,1060.0,6930.0,2.3,33.0,0.24%,0.51%,높음,10.0,7990.0
인하대수시등급,970.0,6990.0,0.0,0.0,-,-,낮음,0.0,7960.0
한국부동산원채용,4170.0,3700.0,0.7,0.0,0.02%,-,높음,3.0,7870.0
오늘의영단어,1510.0,6270.0,0.3,9.8,0.03%,0.17%,높음,10.0,7780.0
의대,1170.0,6590.0,0.0,1.0,-,0.02%,높음,3.0,7760.0
스튜어디스,1000.0,6460.0,1.1,31.6,0.12%,0.54%,높음,10.0,7460.0
과외,1800.0,5620.0,13.1,117.2,0.77%,2.24%,높음,10.0,7420.0
수시,1630.0,5660.0,0.7,6.4,0.06%,0.14%,높음,10.0,7290.0
숭실대수시등급,910.0,6080.0,1.3,21.4,0.17%,0.38%,중간,7.0,6990.0
AI역량검사,3200.0,3650.0,5.3,22.0,0.18%,0.63%,높음,10.0,6850.0
수시컨설팅,1300.0,5510.0,22.2,196.8,1.84%,3.92%,높음,10.0,6810.0
내신계산기,1030.0,5770.0,0.0,0.0,-,-,낮음,0.0,6800.0
