"광고그룹ID는 '광고다운로드' 파일에서 확인할 수 있으며, 입력은 최대 만(10000)개까지 가능합니다.",,,,,
"광고그룹 1개당 등록 가능한 소재는 총 5개 까지 입니다. 이미 광고그룹에 소재가 등록되어 있는 경우, 입력하신 새 소재 일부가 등록되지 않을 수 있습니다. 예시) 소재를 추가 하려는 광고그룹에 1개의 소재가 등록된 상태에서, 소재 추가를 5개 입력한 경우 입력한 순서대로 맨 위의 4개 소재만 등록되고 마지막줄 소재 등록은 실패 처리 됩니다.",,,,,
"소재의 연결 URL이 1개인 경우라도 PC/모바일 URL에 동일하게 2번 입력해주시고, PC/모바일 연결 URL을 별도로 가지고 있는 경우에만 URL을 PC /모바일 구분해서 입력하세요. URL은 http:// 등으로 시작하는 형식이어야 합니다.",,,,,
의료 광고 대상 광고주께서는 심의필번호를 등록하기 전에 ‘의료광고 심의필증’을 서류관리 메뉴를 통해 제출해야 검토가 진행됩니다.,,,,,
[중요] 7행부터 입력값이 시스템에 반영됩니다. 1~6행을 삭제하지 마세요. 엑셀에서 저장시 CSV 파일형식을 꼭 확인하시기 바랍니다.,,,,,
광고그룹ID(필수),제목(필수),설명(필수),PC URL(필수),모바일 URL(필수),의료광고 심의필 번호(의료광고인 경우에만 입력하세요. 6~12자)
grp-a001-01-000000072767566,아주대 면접 가이드북,"아주대 면접 실제 기출과 생기부 질문 규칙, 전형별 제원. 열람 33,000원",https://hyunhak.com/guidebook/ajou.html,https://hyunhak.com/guidebook/ajou.html,
grp-a001-01-000000072767566,아주대 ACE 면접,"13년차 대치동 컨설턴트가 정리한 아주대 면접 기출과 준비 전략, 33,000원",https://hyunhak.com/guidebook/ajou.html,https://hyunhak.com/guidebook/ajou.html,
grp-a001-01-000000072767569,가톨릭대 면접 가이드북,"가톨릭대 면접 실제 기출과 생기부 질문 규칙, 전형별 제원. 열람 33,000원",https://hyunhak.com/guidebook/catholic.html,https://hyunhak.com/guidebook/catholic.html,
grp-a001-01-000000072767569,가톨릭대 면접 기출,"13년차 대치동 컨설턴트가 정리한 가톨릭대 면접 기출과 준비 전략, 33,000원",https://hyunhak.com/guidebook/catholic.html,https://hyunhak.com/guidebook/catholic.html,
grp-a001-01-000000072767582,중앙대 면접 가이드북,"중앙대 면접 실제 기출과 생기부 질문 규칙, 전형별 제원. 열람 33,000원",https://hyunhak.com/guidebook/cau.html,https://hyunhak.com/guidebook/cau.html,
grp-a001-01-000000072767582,중앙대 CAU탐구형인재 면접,"13년차 대치동 컨설턴트가 정리한 중앙대 면접 기출과 준비 전략, 33,000원",https://hyunhak.com/guidebook/cau.html,https://hyunhak.com/guidebook/cau.html,
grp-a001-01-000000072767640,동국대 면접 가이드북,"동국대 면접 실제 기출과 생기부 질문 규칙, 전형별 제원. 열람 33,000원",https://hyunhak.com/guidebook/dongguk.html,https://hyunhak.com/guidebook/dongguk.html,
grp-a001-01-000000072767640,동국대 Do Dream 면접,"13년차 대치동 컨설턴트가 정리한 동국대 면접 기출과 준비 전략, 33,000원",https://hyunhak.com/guidebook/dongguk.html,https://hyunhak.com/guidebook/dongguk.html,
grp-a001-01-000000072767669,이화여대 면접 가이드북,"이화여대 면접 실제 기출과 생기부 질문 규칙, 전형별 제원. 열람 33,000원",https://hyunhak.com/guidebook/ewha.html,https://hyunhak.com/guidebook/ewha.html,
grp-a001-01-000000072767669,이화여대 면접 기출,"13년차 대치동 컨설턴트가 정리한 이화여대 면접 기출과 준비 전략, 33,000원",https://hyunhak.com/guidebook/ewha.html,https://hyunhak.com/guidebook/ewha.html,
