광고그룹ID,제목,설명,PC URL,모바일 URL,의료광고 심의필 번호,결과
grp-a001-01-000000072767566,아주대 면접 가이드북,"아주대 면접 실제 기출과 생기부 질문 규칙, 전형별 제원. 열람 33,000원",https://hyunhak.com/guidebook/ajou.html,https://hyunhak.com/guidebook/ajou.html,,성공,
grp-a001-01-000000072767566,아주대 ACE 면접,"13년차 대치동 컨설턴트가 정리한 아주대 면접 기출과 준비 전략, 33,000원",https://hyunhak.com/guidebook/ajou.html,https://hyunhak.com/guidebook/ajou.html,,성공,
grp-a001-01-000000072767569,가톨릭대 면접 가이드북,"가톨릭대 면접 실제 기출과 생기부 질문 규칙, 전형별 제원. 열람 33,000원",https://hyunhak.com/guidebook/catholic.html,https://hyunhak.com/guidebook/catholic.html,,성공,
grp-a001-01-000000072767569,가톨릭대 면접 기출,"13년차 대치동 컨설턴트가 정리한 가톨릭대 면접 기출과 준비 전략, 33,000원",https://hyunhak.com/guidebook/catholic.html,https://hyunhak.com/guidebook/catholic.html,,성공,
grp-a001-01-000000072767582,중앙대 면접 가이드북,"중앙대 면접 실제 기출과 생기부 질문 규칙, 전형별 제원. 열람 33,000원",https://hyunhak.com/guidebook/cau.html,https://hyunhak.com/guidebook/cau.html,,성공,
grp-a001-01-000000072767582,중앙대 CAU탐구형인재 면접,"13년차 대치동 컨설턴트가 정리한 중앙대 면접 기출과 준비 전략, 33,000원",https://hyunhak.com/guidebook/cau.html,https://hyunhak.com/guidebook/cau.html,,성공,
grp-a001-01-000000072767640,동국대 면접 가이드북,"동국대 면접 실제 기출과 생기부 질문 규칙, 전형별 제원. 열람 33,000원",https://hyunhak.com/guidebook/dongguk.html,https://hyunhak.com/guidebook/dongguk.html,,성공,
grp-a001-01-000000072767640,동국대 Do Dream 면접,"13년차 대치동 컨설턴트가 정리한 동국대 면접 기출과 준비 전략, 33,000원",https://hyunhak.com/guidebook/dongguk.html,https://hyunhak.com/guidebook/dongguk.html,,성공,
grp-a001-01-000000072767669,이화여대 면접 가이드북,"이화여대 면접 실제 기출과 생기부 질문 규칙, 전형별 제원. 열람 33,000원",https://hyunhak.com/guidebook/ewha.html,https://hyunhak.com/guidebook/ewha.html,,성공,
grp-a001-01-000000072767669,이화여대 면접 기출,"13년차 대치동 컨설턴트가 정리한 이화여대 면접 기출과 준비 전략, 33,000원",https://hyunhak.com/guidebook/ewha.html,https://hyunhak.com/guidebook/ewha.html,,성공,
grp-a001-01-000000072767705,가천대 면접 가이드북,"가천대 면접 실제 기출과 생기부 질문 규칙, 전형별 제원. 열람 33,000원",https://hyunhak.com/guidebook/gachon.html,https://hyunhak.com/guidebook/gachon.html,,성공,
grp-a001-01-000000072767705,가천대 가천바람개비 면접,"13년차 대치동 컨설턴트가 정리한 가천대 면접 기출과 준비 전략, 33,000원",https://hyunhak.com/guidebook/gachon.html,https://hyunhak.com/guidebook/gachon.html,,성공,
grp-a001-01-000000072767728,한국외대 면접 가이드북,"한국외대 면접 실제 기출과 생기부 질문 규칙, 전형별 제원. 열람 33,000원",https://hyunhak.com/guidebook/hufs.html,https://hyunhak.com/guidebook/hufs.html,,성공,
grp-a001-01-000000072767728,한국외대 면접 기출,"13년차 대치동 컨설턴트가 정리한 한국외대 면접 기출과 준비 전략, 33,000원",https://hyunhak.com/guidebook/hufs.html,https://hyunhak.com/guidebook/hufs.html,,성공,
grp-a001-01-000000072767753,인하대 면접 가이드북,"인하대 면접 실제 기출과 생기부 질문 규칙, 전형별 제원. 열람 33,000원",https://hyunhak.com/guidebook/inha.html,https://hyunhak.com/guidebook/inha.html,,성공,
grp-a001-01-000000072767753,인하대 면접 기출,"13년차 대치동 컨설턴트가 정리한 인하대 면접 기출과 준비 전략, 33,000원",https://hyunhak.com/guidebook/inha.html,https://hyunhak.com/guidebook/inha.html,,성공,
grp-a001-01-000000072767758,경희대 면접 가이드북,"경희대 면접 실제 기출과 생기부 질문 규칙, 전형별 제원. 열람 33,000원",https://hyunhak.com/guidebook/khu.html,https://hyunhak.com/guidebook/khu.html,,성공,
grp-a001-01-000000072767758,경희대 네오르네상스 면접,"13년차 대치동 컨설턴트가 정리한 경희대 면접 기출과 준비 전략, 33,000원",https://hyunhak.com/guidebook/khu.html,https://hyunhak.com/guidebook/khu.html,,성공,
grp-a001-01-000000072767763,건국대 면접 가이드북,"건국대 면접 실제 기출과 생기부 질문 규칙, 전형별 제원. 열람 33,000원",https://hyunhak.com/guidebook/konkuk.html,https://hyunhak.com/guidebook/konkuk.html,,성공,
grp-a001-01-000000072767763,건국대 KU자기추천 면접,"13년차 대치동 컨설턴트가 정리한 건국대 면접 기출과 준비 전략, 33,000원",https://hyunhak.com/guidebook/konkuk.html,https://hyunhak.com/guidebook/konkuk.html,,성공,
grp-a001-01-000000072767768,국민대 면접 가이드북,"국민대 면접 실제 기출과 생기부 질문 규칙, 전형별 제원. 열람 33,000원",https://hyunhak.com/guidebook/kookmin.html,https://hyunhak.com/guidebook/kookmin.html,,성공,
grp-a001-01-000000072767768,국민대 국민프런티어 면접,"13년차 대치동 컨설턴트가 정리한 국민대 면접 기출과 준비 전략, 33,000원",https://hyunhak.com/guidebook/kookmin.html,https://hyunhak.com/guidebook/kookmin.html,,성공,
grp-a001-01-000000072767772,고려대 제시문 면접 스튜디오,"고려대 제시문 면접 기출 세트로 촬영 응시와 세 단 첨삭, 지문 30편",https://hyunhak.com/programs/korea.html,https://hyunhak.com/programs/korea.html,,성공,
grp-a001-01-000000072767772,고려대 계열적합 면접,"실전 규격 응시와 첨삭, 고려대 면접 스튜디오, 13년차 컨설턴트 설계",https://hyunhak.com/programs/korea.html,https://hyunhak.com/programs/korea.html,,성공,
grp-a001-01-000000072767776,광운대 면접 가이드북,"광운대 면접 실제 기출과 생기부 질문 규칙, 전형별 제원. 열람 33,000원",https://hyunhak.com/guidebook/kwangwoon.html,https://hyunhak.com/guidebook/kwangwoon.html,,성공,
grp-a001-01-000000072767776,광운대 면접 기출,"13년차 대치동 컨설턴트가 정리한 광운대 면접 기출과 준비 전략, 33,000원",https://hyunhak.com/guidebook/kwangwoon.html,https://hyunhak.com/guidebook/kwangwoon.html,,성공,
grp-a001-01-000000072767785,경기대 면접 가이드북,"경기대 면접 실제 기출과 생기부 질문 규칙, 전형별 제원. 열람 33,000원",https://hyunhak.com/guidebook/kyonggi.html,https://hyunhak.com/guidebook/kyonggi.html,,성공,
grp-a001-01-000000072767785,경기대 KGU학생부종합 면접,"13년차 대치동 컨설턴트가 정리한 경기대 면접 기출과 준비 전략, 33,000원",https://hyunhak.com/guidebook/kyonggi.html,https://hyunhak.com/guidebook/kyonggi.html,,성공,
grp-a001-01-000000072767862,명지대 면접 가이드북,"명지대 면접 실제 기출과 생기부 질문 규칙, 전형별 제원. 열람 33,000원",https://hyunhak.com/guidebook/myongji.html,https://hyunhak.com/guidebook/myongji.html,,성공,
grp-a001-01-000000072767862,명지대 명지인재면접 면접,"13년차 대치동 컨설턴트가 정리한 명지대 면접 기출과 준비 전략, 33,000원",https://hyunhak.com/guidebook/myongji.html,https://hyunhak.com/guidebook/myongji.html,,성공,
grp-a001-01-000000072767885,부산대 면접 가이드북,"부산대 면접 실제 기출과 생기부 질문 규칙, 전형별 제원. 열람 33,000원",https://hyunhak.com/guidebook/pusan.html,https://hyunhak.com/guidebook/pusan.html,,성공,
grp-a001-01-000000072767885,부산대 학생부종합 면접,"13년차 대치동 컨설턴트가 정리한 부산대 면접 기출과 준비 전략, 33,000원",https://hyunhak.com/guidebook/pusan.html,https://hyunhak.com/guidebook/pusan.html,,성공,
grp-a001-01-000000072767895,세종대 면접 가이드북,"세종대 면접 실제 기출과 생기부 질문 규칙, 전형별 제원. 열람 33,000원",https://hyunhak.com/guidebook/sejong.html,https://hyunhak.com/guidebook/sejong.html,,성공,
grp-a001-01-000000072767895,세종대 면접 기출,"13년차 대치동 컨설턴트가 정리한 세종대 면접 기출과 준비 전략, 33,000원",https://hyunhak.com/guidebook/sejong.html,https://hyunhak.com/guidebook/sejong.html,,성공,
