"광고그룹ID는 '광고다운로드' 파일에서 확인할 수 있으며, 입력은 최대 만(10000)개까지 가능합니다.",,,,,
"광고그룹 1개당 등록 가능한 소재는 총 5개 까지 입니다. 이미 광고그룹에 소재가 등록되어 있는 경우, 입력하신 새 소재 일부가 등록되지 않을 수 있습니다.",,,,,
"소재의 연결 URL이 1개인 경우라도 PC/모바일 URL에 동일하게 2번 입력해주시고, PC/모바일 연결 URL을 별도로 가지고 있는 경우에만 URL을 PC /모바일 구분해서 입력하세요. URL은 http:// 등으로 시작하는 형식이어야 합니다.",,,,,
의료 광고 대상 광고주께서는 심의필번호를 등록하기 전에 ‘의료광고 심의필증’을 서류관리 메뉴를 통해 제출해야 검토가 진행됩니다.,,,,,
[중요] 7행부터 입력값이 시스템에 반영됩니다. 1~6행을 삭제하지 마세요. 엑셀에서 저장시 CSV 파일형식을 꼭 확인하시기 바랍니다.,,,,,
광고그룹ID(필수),제목(필수),설명(필수),PC URL(필수),모바일 URL(필수),의료광고 심의필 번호(의료광고인 경우에만 입력하세요. 6~12자)
grp-a001-01-000000072767542,대학 면접 준비 첫 순서,"31개 대학 실제 기출 3,934문을 지원 대학별 한 권에",https://hyunhak.com/guidebook/index.html,https://hyunhak.com/guidebook/index.html,
grp-a001-01-000000072767542,내 생기부가 질문이 된다,13년차 대치동 컨설턴트가 만든 대학별 면접 가이드북 31권,https://hyunhak.com/guidebook/index.html,https://hyunhak.com/guidebook/index.html,
grp-a001-01-000000072767553,"대학 면접 기출 3,934문",선배 후기에서 회수한 실제 질문을 대학별 유형별로,https://hyunhak.com/guidebook/index.html,https://hyunhak.com/guidebook/index.html,
grp-a001-01-000000072767553,면접 예상 질문 내 기록서,생기부 기재를 질문으로 바꾸는 규칙과 꼬리질문까지,https://hyunhak.com/guidebook/index.html,https://hyunhak.com/guidebook/index.html,
grp-a001-01-000000072767554,면접 준비 대학별 한 권,13년차 대치동 컨설턴트가 편집한 기출과 생기부 질문 규칙,https://hyunhak.com/guidebook/index.html,https://hyunhak.com/guidebook/index.html,
grp-a001-01-000000072767554,대입 모의면접 촬영 응시,연세대 고려대 제시문 면접을 실전 규격으로 응시,https://hyunhak.com/studio.html,https://hyunhak.com/studio.html,
grp-a001-01-000000072767557,서류기반 면접 판정부터,38개 대학 전형별 면접 형태와 준비 자료를 한 표로,https://hyunhak.com/interview.html,https://hyunhak.com/interview.html,
grp-a001-01-000000072767557,생기부 면접 질문 규칙,내 기재가 어떤 질문이 되는지 대학별로 정리했습니다,https://hyunhak.com/guidebook/index.html,https://hyunhak.com/guidebook/index.html,
grp-a001-01-000000072767558,의약학 면접 형태 판정,의예과 전형별 면접 형태와 실제 기출을 대학별 한 권에,https://hyunhak.com/guidebook/index.html,https://hyunhak.com/guidebook/index.html,
grp-a001-01-000000072767558,의대 면접 기출과 규칙,13년차 대치동 컨설턴트가 정리한 전형별 제원과 생기부 질문 규칙,https://hyunhak.com/guidebook/index.html,https://hyunhak.com/guidebook/index.html,
grp-a001-01-000000072767566,아주대 면접 기출 190문,"실제 기출 190문과 생기부 질문 규칙 62개. 열람 33,000원",https://hyunhak.com/guidebook/ajou.html,https://hyunhak.com/guidebook/ajou.html,
grp-a001-01-000000072767566,아주대 면접 내 질문부터,"ACE전형 면접 대비, 생기부 질문 규칙 62개. 13년차 대치동 컨설턴트 편집",https://hyunhak.com/guidebook/ajou.html,https://hyunhak.com/guidebook/ajou.html,
