키워드를 추가 할 광고그룹ID 와 신규 키워드를 입력하세요.,,,,
광고그룹ID는 '광고다운로드' 파일에서 확인할 수 있습니다. 입찰가는 쉼표나 '원' 표시를 제외한 숫자만 입력해 주세요.,,,,
입력은 최대 만(10000)개까지 가능합니다. (광고그룹 당 키워드는 1000개까지 등록가능합니다),,,,
그룹의 웹사이트URL이 1개인 경우라도 PC/모바일 URL에 동일하게 2번 입력해주시고 PC/모바일 웹사이트를 별도로 가지고 있는 경우에만 URL을 PC /모바일 구분해서 입력하세요. URL은 http:// 등으로 시작하는 형식이어야 합니다.,,,,
[중요] 7행부터 입력값이 시스템에 반영됩니다. 1~6행을 삭제하지 마세요. 엑셀에서 저장시 CSV 파일형식을 꼭 확인하시기 바랍니다.,,,,
광고그룹ID(필수),키워드(필수),PC URL(선택),모바일 URL(선택),"키워드입찰가(선택,숫자만)"
grp-a001-01-000000072767542,대학면접준비,https://hyunhak.com/guidebook/index.html,https://hyunhak.com/guidebook/index.html,500
grp-a001-01-000000072767542,대학면접,https://hyunhak.com/guidebook/index.html,https://hyunhak.com/guidebook/index.html,450
grp-a001-01-000000072767542,수시면접,https://hyunhak.com/guidebook/index.html,https://hyunhak.com/guidebook/index.html,450
grp-a001-01-000000072767542,대학모의면접,https://hyunhak.com/guidebook/index.html,https://hyunhak.com/guidebook/index.html,450
grp-a001-01-000000072767542,수시면접준비,https://hyunhak.com/guidebook/index.html,https://hyunhak.com/guidebook/index.html,450
grp-a001-01-000000072767542,대입면접,https://hyunhak.com/guidebook/index.html,https://hyunhak.com/guidebook/index.html,450
grp-a001-01-000000072767542,대입면접준비,https://hyunhak.com/guidebook/index.html,https://hyunhak.com/guidebook/index.html,450
grp-a001-01-000000072767542,대학입시면접,https://hyunhak.com/guidebook/index.html,https://hyunhak.com/guidebook/index.html,400
grp-a001-01-000000072767542,입시면접,https://hyunhak.com/guidebook/index.html,https://hyunhak.com/guidebook/index.html,400
grp-a001-01-000000072767542,대학수시면접,https://hyunhak.com/guidebook/index.html,https://hyunhak.com/guidebook/index.html,400
grp-a001-01-000000072767542,대학면접책,https://hyunhak.com/guidebook/index.html,https://hyunhak.com/guidebook/index.html,400
grp-a001-01-000000072767542,대입면접책,https://hyunhak.com/guidebook/index.html,https://hyunhak.com/guidebook/index.html,400
grp-a001-01-000000072767542,천안대입면접,https://hyunhak.com/guidebook/index.html,https://hyunhak.com/guidebook/index.html,350
grp-a001-01-000000072767542,대입수시면접,https://hyunhak.com/guidebook/index.html,https://hyunhak.com/guidebook/index.html,350
grp-a001-01-000000072767542,목동수시면접,https://hyunhak.com/guidebook/index.html,https://hyunhak.com/guidebook/index.html,350
grp-a001-01-000000072767542,대학교수시면접,https://hyunhak.com/guidebook/index.html,https://hyunhak.com/guidebook/index.html,350
grp-a001-01-000000072767542,수시모의면접,https://hyunhak.com/guidebook/index.html,https://hyunhak.com/guidebook/index.html,350
grp-a001-01-000000072767542,수시면접대비,https://hyunhak.com/guidebook/index.html,https://hyunhak.com/guidebook/index.html,350
grp-a001-01-000000072767542,대입면접특강,https://hyunhak.com/guidebook/index.html,https://hyunhak.com/guidebook/index.html,350
grp-a001-01-000000072767542,대입모의면접,https://hyunhak.com/guidebook/index.html,https://hyunhak.com/guidebook/index.html,350
grp-a001-01-000000072767553,면접예상질문,https://hyunhak.com/guidebook/index.html,https://hyunhak.com/guidebook/index.html,500
grp-a001-01-000000072767553,대학면접질문,https://hyunhak.com/guidebook/index.html,https://hyunhak.com/guidebook/index.html,450
grp-a001-01-000000072767553,대학면접예상질문,https://hyunhak.com/guidebook/index.html,https://hyunhak.com/guidebook/index.html,400
grp-a001-01-000000072767553,면접기출,https://hyunhak.com/guidebook/index.html,https://hyunhak.com/guidebook/index.html,350
grp-a001-01-000000072767553,면접기출문제,https://hyunhak.com/guidebook/index.html,https://hyunhak.com/guidebook/index.html,350
grp-a001-01-000000072767553,코레일면접기출,https://hyunhak.com/guidebook/index.html,https://hyunhak.com/guidebook/index.html,350
grp-a001-01-000000072767554,대입면접학원,https://hyunhak.com/programs/guidebook.html,https://hyunhak.com/programs/guidebook.html,500
grp-a001-01-000000072767554,수시면접학원,https://hyunhak.com/programs/guidebook.html,https://hyunhak.com/programs/guidebook.html,500
grp-a001-01-000000072767554,대학면접학원,https://hyunhak.com/programs/guidebook.html,https://hyunhak.com/programs/guidebook.html,500
grp-a001-01-000000072767554,입시면접학원,https://hyunhak.com/programs/guidebook.html,https://hyunhak.com/programs/guidebook.html,450
grp-a001-01-000000072767554,대입면접컨설팅,https://hyunhak.com/programs/guidebook.html,https://hyunhak.com/programs/guidebook.html,450
grp-a001-01-000000072767554,수시면접컨설팅,https://hyunhak.com/programs/guidebook.html,https://hyunhak.com/programs/guidebook.html,450
grp-a001-01-000000072767554,대학입시면접학원,https://hyunhak.com/programs/guidebook.html,https://hyunhak.com/programs/guidebook.html,450
grp-a001-01-000000072767554,제시문면접학원,https://hyunhak.com/programs/guidebook.html,https://hyunhak.com/programs/guidebook.html,400
grp-a001-01-000000072767554,학종면접학원,https://hyunhak.com/programs/guidebook.html,https://hyunhak.com/programs/guidebook.html,400
grp-a001-01-000000072767554,입시면접컨설팅,https://hyunhak.com/programs/guidebook.html,https://hyunhak.com/programs/guidebook.html,400
grp-a001-01-000000072767554,대학면접컨설팅,https://hyunhak.com/programs/guidebook.html,https://hyunhak.com/programs/guidebook.html,400
grp-a001-01-000000072767554,대학수시면접학원,https://hyunhak.com/programs/guidebook.html,https://hyunhak.com/programs/guidebook.html,400
grp-a001-01-000000072767554,수능면접학원,https://hyunhak.com/programs/guidebook.html,https://hyunhak.com/programs/guidebook.html,400
grp-a001-01-000000072767557,제시문면접,https://hyunhak.com/programs/guidebook.html,https://hyunhak.com/programs/guidebook.html,450
grp-a001-01-000000072767557,학종면접,https://hyunhak.com/programs/guidebook.html,https://hyunhak.com/programs/guidebook.html,450
grp-a001-01-000000072767557,생기부면접,https://hyunhak.com/programs/guidebook.html,https://hyunhak.com/programs/guidebook.html,400
grp-a001-01-000000072767557,제시문기반면접,https://hyunhak.com/programs/guidebook.html,https://hyunhak.com/programs/guidebook.html,400
grp-a001-01-000000072767557,학생부종합면접,https://hyunhak.com/programs/guidebook.html,https://hyunhak.com/programs/guidebook.html,400
grp-a001-01-000000072767557,학생부면접,https://hyunhak.com/programs/guidebook.html,https://hyunhak.com/programs/guidebook.html,350
grp-a001-01-000000072767557,서류기반면접,https://hyunhak.com/programs/guidebook.html,https://hyunhak.com/programs/guidebook.html,350
grp-a001-01-000000072767558,의대MMI면접,https://hyunhak.com/guidebook/index.html,https://hyunhak.com/guidebook/index.html,400
grp-a001-01-000000072767566,아주대면접,https://hyunhak.com/guidebook/ajou.html,https://hyunhak.com/guidebook/ajou.html,700
grp-a001-01-000000072767566,아주대면접후기,https://hyunhak.com/guidebook/ajou.html,https://hyunhak.com/guidebook/ajou.html,500
grp-a001-01-000000072767569,가톨릭대면접,https://hyunhak.com/guidebook/catholic.html,https://hyunhak.com/guidebook/catholic.html,700
grp-a001-01-000000072767582,중앙대면접,https://hyunhak.com/guidebook/cau.html,https://hyunhak.com/guidebook/cau.html,700
grp-a001-01-000000072767582,중앙대수시면접,https://hyunhak.com/guidebook/cau.html,https://hyunhak.com/guidebook/cau.html,700
grp-a001-01-000000072767592,단국대면접,https://hyunhak.com/guidebook/dankook.html,https://hyunhak.com/guidebook/dankook.html,500
grp-a001-01-000000072767600,동아대면접,https://hyunhak.com/guidebook/donga.html,https://hyunhak.com/guidebook/donga.html,500
grp-a001-01-000000072767605,동덕여대면접,https://hyunhak.com/guidebook/dongduk.html,https://hyunhak.com/guidebook/dongduk.html,500
grp-a001-01-000000072767640,동국대면접,https://hyunhak.com/guidebook/dongguk.html,https://hyunhak.com/guidebook/dongguk.html,700
grp-a001-01-000000072767640,동국대학교면접,https://hyunhak.com/guidebook/dongguk.html,https://hyunhak.com/guidebook/dongguk.html,700
