구분,시작일(YYYY-MM-DD),종료일(YYYY-MM-DD 또는 재직중),소속,직위와 역할,증빙 문서(파일명),공백 기간과 비고
최초 입직,,,,,"최초 근로계약서 또는 위촉계약서, 4대보험 자격취득 이력",연차 기산점. 이 날부터 게재 시점까지 햇수 = 연차
경력 1,,,데오럭스 교육 컨설팅 그룹,파트너 컨설턴트,"계약서 또는 위촉장",
경력 2,,,'학쫑' (AI 기반 입시 컨설팅 솔루션),서비스 교육과 개발 리더,"위촉장, 재직과 프로젝트 확인서",
경력 3,,,(주최 기관),현직 영어 정교사 대상 교수법과 문제 출제법 특강 강사,"강의 의뢰서, 출강 확인서",
경력 4,,,(주최 기관),현직 정교사 대상 세특 작성법 연수 강사,"연수 위촉 문서, 출강 확인서",
경력 5,,,대치우리학원,출강 강사 / EBS 연계 모의고사 출제위원,"출강 확인서, 출제위원 위촉 문서",
경력 6,,,목동 돌풍학원,고등부 수능 영어 출강,"출강 확인서",
경력 7,,,노량진 대성학원,EBS 연계문제와 고난도 문제 출제위원,"출제위원 위촉 문서",
경력 8,,,경희고등학교(자율형사립고),1학년 의대반 학업과 진학 멘토링,"위촉 문서 또는 활동 확인서",
현재,,재직중,대치OOO학원 (대치동 소재),부원장,"재직증명서(직위와 사업장 주소 표기)","지역 표현 '대치동' 과 직위 '부원장' 의 근거"
학력,,,고려대학교 영어교육과,졸업,"졸업증명서",
